"BEZEICHNUNG","THIS_YEAR"
"Ver<e4>nderung der Kundeneinlagen aus dem Bankgesch<e4>ft",295700000
"Auszahlungen f<fc>r Investitionen in immaterielle Verm<f6>genswerte",36700000
"Auszahlungen f<fc>r Investitionen in Sachanlagen",7700000
"Einzahlungen aus Investitionen in finanzielle Verm<f6>genswerte und verzinsliche Wertpapiere",0
"erworbener Zahlungsmittel",0
"Auszahlungen f<fc>r den Erwerb von Gesellschaften aus Vorjahren",2400000
"Tilgung Verbindlichkeiten aus Leasing",15000000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",253900000
"Auszahlungen f<fc>r Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",2700000
"Auszahlungen f<fc>r die Tilgung von Finanzverbindlichkeiten",6700000
"Dividendenaussch<fc>ttung",24700000
"Gezahlte Zinsen aus Darlehen und Leasing",5000000
"Zahlungswirksame Ver<e4>nderungen des Finanzmittelbestands",330500000
"Wechselkurs- und bewertungsbedingte <c4>nderungen des Finanzmittelbestands",6900000
"Umsatzerl<f6>se",1209800000
"Aktivierte Eigenleistungen",22200000
"Materialaufwand",652300000
"Personalaufwand",140700000
"Verm<f6>genswerten",1600000
"Sonstige betriebliche Ertr<e4>ge",5300000
"(at equity)",200000
"Ertragsteueraufwand",30200000
"EUR",1920000
"Abschreibungen (M&A bereinigt)***",47200000
"Abschreibungen (M&A bedingt)",17700000
"Aufzinsungen von Schulden",2300000
"Zinsaufwand aus Darlehen und Leasing",17100000
"Aufwendungen aus Fair-Value-Bewertungen",300000
"W<e4>hrungsbedingte Aufwendungen",200000
"Zinsertr<e4>ge",2100000
"Ertr<e4>ge aus Fair-Value-Bewertungen",8000000
"Ertr<e4>ge aus Wertpapieren und Ausleihungen",300000
"Rechtsberatungs- und Abschlusskosten",20900000
"Beratungs- und beratungsnahe Kosten",20800000
"B<fc>rokosten",3600000
"Betriebsausstattung",13200000
"Reise, Vertrieb und Marketing",12700000
"Personalnahe Aufwendungen",13400000
"Versicherungen, Beitr<e4>ge und Abgaben",2800000
"Sonstiges",13000000
