"1,78,64,682"
"2,14,30,132"
"1,96,84,761"
"1,91,98,494"
"1,78,70,131"
"1,59,41,097"
"1,66,62,152"
"1,47,23,483"
"1,82,63,388"
"2,03,54,228"
"2,08,73,758"
"1,97,79,465"
"1,92,18,074"
"2,38,38,325"
"1,88,74,280"
"2,40,34,386"
"2,19,94,153"
"2,66,64,734"
"2,30,38,485"
"2,38,23,767"
"2,28,88,656"
"2,17,62,116"
"2,21,35,790"
"2,14,48,324"
"2,22,65,393"
"2,25,50,936"
"2,04,69,046"
"1,86,87,758"
"3,43,59,184"
"4,02,74,200"
"8,98,80,759"
"6,37,84,982"
"5,76,31,644"
"9,25,87,423"
"3,84,65,056"
"5,59,80,466"
"5,60,17,780"
"5,99,32,355"
"5,06,61,730"
"4,69,77,728"
"3,86,99,748"
"3,94,18,027"
"27,75,02,087"
"26,80,39,753"
"27,06,82,252"
"28,72,49,311"
"33,17,25,550"
"32,07,43,349"
"32,80,37,781"
"32,78,59,108"
"27,16,22,083"
"28,57,48,388"
"46,73,90,264"
"69,05,08,235"
"77,23,93,307"
"92,84,43,854"
"1,13,74,26,213"
"1,32,87,86,430"
"1,47,63,19,019"
"1,60,37,26,088"
"1,71,76,23,782"
"1,60,15,25,403"
"1,58,99,58,568"
"1,75,21,88,018"
"1,64,74,37,932"
"1,69,75,82,821"
"1,86,29,59,902"
"1,88,41,14,274"
"1,94,34,29,064"
"2,09,41,06,166"
"2,15,30,68,103"
"2,22,26,75,614"
"2,30,91,95,369"
"2,41,28,01,707"
"2,65,59,53,220"
"2,81,95,89,302"
"2,58,52,58,886"
"2,73,83,52,963"
"2,87,95,56,182"
"3,16,56,23,387"
"1,57,358"
"1,12,609"
"1,80,449"
"2,09,383"
"3,11,474"
"2,56,374"
"2,66,493"
"4,39,239"
"6,47,741"
"8,00,755"
"11,32,949"
"2,55,135"
"4,94,127"
"7,84,915"
"7,71,170"
"6,43,385"
"12,88,487"
"16,47,368"
"17,32,811"
"10,54,679"
"6,50,642"
"4,71,613"
"7,97,647"
"12,20,012"
"28,37,274"
"17,70,422"
"12,27,980"
"16,16,226"
"15,58,721"
"8,62,515"
"9,46,650"
"8,57,626"
"5,57,935"
"9,34,738"
"9,77,648"
"9,69,095"
"10,64,914"
"7,51,348"
"6,64,319"
"6,72,687"
"5,61,999"
"6,78,544"
"5,64,927"
"6,18,045"
"5,62,482"
"6,53,662"
"6,45,059"
"6,09,409"
"2,83,043"
"3,81,105"
"3,55,577"
"5,04,263"
"6,10,523"
"3,51,118"
"7,31,218"
"4,27,850"
"3,68,592"
"6,83,244"
"3,50,648"
"6,24,681"
"6,42,840"
"3,99,363"
"14,90,356"
"12,44,533"
"10,34,217"
"19,92,567"
"24,46,369"
"29,14,852"
"23,97,037"

"25,12,142"
"29,23,300"
"24,61,423"
"22,72,892"
"31,30,388"
"30,78,474"
"32,74,368"
"33,13,160"

"11,69,978"
"13,00,583"
"14,94,670"
"25,03,143"
"12,15,638"
"9,02,204"
"17,12,267"
"26,92,391"
"28,07,128"
"38,58,488"
"48,70,156"
"32,86,290"
"34,33,510"
"37,28,387"
"24,32,388"
"17,25,742"
"19,29,449"
"28,67,435"
"61,68,938"
"46,21,098"
"35,68,634"
"41,88,991"
"51,44,199"
"55,64,154"
"55,94,192"
"74,90,361"
"98,86,381"
"77,76,650"
"1,45,05,548"
"1,23,11,339"
"1,17,84,778"
"1,19,47,066"
"1,39,45,995"
"1,32,29,453"
"1,43,35,231"
"2,10,15,251"
"1,98,81,067"
"1,58,61,391"
"1,28,29,210"
"1,82,39,965"
"1,69,91,890"
"2,41,88,823"
"86,04,341"
"38,58,174"
"89,71,217"
"42,89,502"
"45,09,738"
"32,92,394"
"44,30,115"
"43,47,585"
"53,69,943"
"1,20,88,464"
"47,05,399"
"36,63,435"
"55,48,732"
"39,98,461"
"51,47,606"
"56,88,543"
"53,17,163"
"83,91,071"
"78,70,670"
"1,12,25,156"
"1,50,56,353"
"85,01,220"
"85,67,623"
"90,45,136"
"81,84,540"
"82,64,236"
"61,55,980"
"58,37,936"
"1,07,84,494"
"2,32,42,035"
"1,58,19,148"
"1,29,33,241"
"98,72,296"
"96,87,835"
"1,21,35,618"
"1,13,86,983"
"1,49,26,214"
"1,32,47,442"
"1,45,22,432"
"1,91,85,177"
"1,96,20,343"
"1,71,64,143"
"1,62,56,758"
"2,11,64,840"
"2,05,69,958"
"1,77,17,421"
"1,85,69,000"
"1,92,33,243"
"1,87,90,280"
"1,88,12,117"
"1,80,45,819"
"1,62,05,515"
"1,63,08,037"
"1,85,03,247"
"2,02,61,146"
"2,11,91,417"
"2,19,62,601"
"1,76,82,576"
"1,81,85,042"
"1,94,61,497"
"1,90,71,302"
"2,03,16,467"
"2,27,66,474"
"1,84,23,968"
"2,06,81,280"
"2,46,51,558"
"2,45,63,519"
"2,48,12,634"
"2,27,49,458"
"1,99,52,744"
"2,03,47,222"
"2,14,15,943"
"2,27,82,259"
"2,29,70,519"
"3,11,91,298"
"2,87,59,815"
"2,50,23,336"
"2,65,25,879"
"1,87,74,603"
"2,70,61,603"
"2,94,01,361"
"3,50,46,076"
"3,35,83,887"
"3,16,17,338"
"3,54,38,975"
"3,39,88,508"
"3,23,64,523"
"2,65,27,686"
"2,73,08,787"
"3,80,32,070"
"3,32,31,809"
"3,48,40,075"
"3,31,98,243"
"2,94,07,651"
"3,07,12,918"
"3,88,60,739"
"4,18,69,871"
"3,79,86,182"
"10,29,31,679"
"9,33,36,312"
"11,73,83,137"
"9,86,41,366"
"8,31,30,365"
"9,07,04,526"
"9,52,20,101"
"8,16,38,700"
"7,91,07,430"
"6,82,21,595"
"7,43,99,631"
"7,90,56,415"
"7,12,50,879"
"5,45,87,098"
"3,34,12,261"
"2,85,09,860"
"4,68,48,116"
"5,53,76,499"
"4,45,03,007"
"1,83,78,084"
"1,67,05,496"
"2,72,73,698"
"2,75,80,952"
"2,66,54,091"
"3,92,25,313"
"3,01,03,837"
"2,56,57,382"
"2,75,31,754"
"2,51,20,648"
"1,75,24,099"
"3,23,00,398"
"2,94,02,297"
"3,19,67,225"
"3,30,28,093"
"5,62,36,855"
"4,54,89,984"
"4,94,14,449"
"5,07,09,368"
"2,04,91,760"
"3,14,97,415"
"6,80,20,621"
"3,82,79,165"
"3,47,53,238"
"4,95,33,147"
"2,77,21,013"
"4,40,40,161"
"5,26,27,117"
"6,52,36,067"
"7,57,31,629"
"5,89,44,838"
"10,19,59,343"
"10,23,83,926"
"2,58,358"
"2,75,885"
"4,29,287"
"4,74,037"
"2,08,832"
"5,80,823"
"9,51,388"
"10,10,865"
"4,55,709"
"7,37,145"
"3,38,432"
"4,33,329"
"4,46,321"
"3,62,093"
"1,05,662"
"6,66,796"
"7,63,994"
"8,75,635"
"11,52,188"
"9,14,627"
"15,92,854"
"19,14,133"
"8,51,686"
"13,13,096"
"10,00,709"
"10,71,389"
"13,14,080"
"17,19,092"
"19,37,830"
"11,97,431"
"18,63,117"
"31,61,341"
"24,89,587"
"23,14,174"
"22,07,077"
"27,18,362"
"32,96,726"
"34,30,927"
"38,86,478"
"37,35,789"
"39,88,018"
"33,17,349"
"33,54,944"
"40,87,165"
"49,00,992"
"40,54,799"
"34,24,106"
"26,03,227"
"17,31,942"
"8,07,958"
"23,34,535"
"23,35,467"
"21,79,370"
"20,61,713"
"19,59,087"
"29,69,582"
"27,29,832"
"22,89,211"
"31,05,797"
"37,89,101"
"40,34,321"
"42,69,167"
"22,39,239"
"22,07,700"
"26,28,541"
"20,20,364"
"30,53,594"
"3,61,972"
"17,53,371"

"18,70,988"
"8,17,709"
"15,63,726"
"13,79,080"
"14,73,303"
"22,98,105"
"16,13,123"
"11,91,836"

"69,42,675"
"53,78,561"
"39,05,386"
"20,10,697"
"37,11,156"
"35,85,286"
"32,84,998"
"21,61,762"
"13,21,187"
"6,57,212"
"27,86,206"
"60,22,858"
"57,35,443"
"58,38,551"
"73,05,960"
"86,88,872"
"79,63,894"
"65,26,120"
"40,91,948"
"70,79,586"
"61,80,246"
"25,58,718"
"11,08,533"
"58,31,283"
"75,63,708"
"61,44,248"
"46,40,122"
"41,52,957"
"37,76,755"
"33,86,046"
"58,83,798"
"59,88,090"
"61,42,843"
"78,55,720"
"44,92,933"
"35,01,412"
"33,50,945"
"29,83,191"
"29,19,501"
"22,93,637"
"20,52,815"
"46,68,884"
"96,86,671"
"1,00,55,469"
"41,84,628"
"49,63,258"
"1,20,11,650"
"1,11,27,141"
"1,04,81,220"
"1,38,59,552"
"87,79,100"
"25,82,573"
"1,01,64,470"
"1,03,56,990"
"68,55,439"
"92,21,980"
"82,17,056"
"53,06,848"
"95,00,270"
"85,37,393"
"62,59,444"
"78,88,707"
"40,89,606"
"1,05,24,522"
"68,32,372"
"43,95,509"
"44,64,649"
"63,60,727"
"1,11,49,789"
"1,62,13,951"
"1,54,53,303"
"1,37,75,800"
"1,20,44,934"
"1,47,60,815"
"1,53,29,532"
"1,71,22,221"
"1,44,35,537"
"1,92,38,924"
"1,81,90,805"
"1,62,86,165"
"1,30,44,626"
"1,05,75,392"
"1,03,43,715"
"1,76,23,251"
"1,99,52,548"
"1,51,71,021"
"1,22,08,721"
"1,57,49,065"
"1,46,14,096"
"1,38,19,412"
"1,46,00,233"
"1,39,66,574"
"1,93,90,312"
"2,13,49,789"
"1,82,71,215"
"1,98,89,996"
"2,18,61,793"
"2,36,51,316"
"2,52,24,687"
"2,29,67,936"
"2,10,64,688"
"2,30,62,580"
"2,69,21,427"
"2,44,47,346"
"3,21,40,932"
"2,83,83,282"
"2,76,78,783"
"2,12,00,220"
"2,31,42,567"
"2,24,95,913"
"2,42,18,333"
"2,29,91,670"
"2,30,76,843"
"2,27,70,757"
"2,17,27,822"
"2,34,36,464"
"2,33,13,544"
"2,48,60,314"
"2,72,37,504"
"3,00,30,524"
"3,70,84,603"
"4,91,16,013"
"3,90,29,270"
"3,40,37,215"
"3,40,62,851"
"3,59,72,051"
"3,58,58,945"
"3,78,52,283"
"3,60,45,496"
"3,54,84,022"
"3,88,53,223"
"3,72,63,884"
"3,67,29,623"
"3,93,20,717"
"3,78,77,662"
"3,66,32,803"
"3,81,97,152"
"4,00,71,123"
"3,77,13,007"
"4,27,05,040"
"6,38,71,540"
"5,49,87,493"
"5,42,96,090"
"5,93,52,898"
"8,16,28,393"
"11,04,45,699"
"12,83,27,987"
"12,87,61,537"
"12,75,04,283"
"12,81,06,296"
"12,85,87,157"
"14,44,93,468"
"15,01,47,937"
"15,72,49,908"
"15,62,50,421"
"15,64,41,302"
"14,59,49,473"
"12,51,96,631"
"14,66,94,212"
"19,55,42,752"
"19,55,07,505"
"20,24,40,619"
"31,43,46,552"
"32,71,91,137"
"12,79,10,019"
"17,34,540"
"16,28,901"
"5,91,278"
"11,01,774"
"11,33,043"
"19,11,563"
"11,79,706"
"11,77,709"
"4,81,520"
"40,18,000"
"55,29,258"
"49,75,658"
"44,46,259"
"45,84,424"
"52,89,137"
"57,49,722"
"56,53,404"
"53,99,005"
"57,27,986"
"39,26,655"
"33,09,613"
"23,31,877"
"14,68,171"
"14,67,915"
"14,51,304"
"14,69,009"
"14,60,584"
"86,000"
"92,000"
"15,000"
"70,000"
"42,000"
"52,000"
"1,05,000"
"92,000"
"42,000"
"1,20,000"
"2,80,000"
"1,90,000"
"1,72,000"
"2,80,000"
"2,10,000"
"2,59,000"
"2,67,000"
"3,90,000"
"5,06,000"
"3,21,000"
"3,50,000"
"5,43,000"
"2,61,000"
"2,45,000"
"1,59,000"
"98,000"
"83,000"
"1,63,000"
"1,93,000"
"2,21,000"
"1,45,000"
"2,55,000"
"1,29,000"
"88,000"
"2,99,000"
"1,08,000"
"80,000"
"86,000"
"1,06,000"
"82,000"
"81,000"
"1,57,000"
"84,000"
"1,55,000"
"94,000"
"1,19,000"
"88,000"
"72,000"
"48,000"
"88,000"
"91,000"
"81,000"
"1,18,000"
"1,86,000"
"85,000"
"79,000"
"1,03,000"
"1,13,000"
"95,000"
"1,01,000"
"1,27,000"
"1,27,000"
"3,63,000"
"5,18,000"
"1,38,000"
"2,09,000"

"2,28,000"
"2,04,000"
"1,97,000"
"2,11,000"
"2,58,000"
"7,33,000"
"4,79,000"
"3,48,000"

"2,35,000"
"2,76,000"
"2,45,000"
"2,77,000"
"3,52,000"
"3,62,000"
"6,34,000"
"5,53,000"
"2,30,000"
"2,13,000"
"10,32,000"
"9,79,000"
"6,41,000"
"8,46,000"
"9,12,000"
"7,55,000"
"8,23,000"
"6,45,000"
"9,80,000"
"8,97,000"
"10,58,000"
"12,41,000"
"9,58,000"
"16,48,000"
"17,59,000"
"24,10,000"
"27,56,466"
"25,42,935"
"20,08,000"
"25,39,000"
"19,07,000"
"19,42,000"
"20,02,352"
"26,56,400"
"23,00,226"
"66,59,984"
"89,69,031"
"1,02,69,143"
"90,32,928"
"92,50,049"
"1,09,76,256"
"1,01,01,126"
"2,82,35,102"
"1,13,61,049"
"1,11,23,835"
"1,00,51,647"
"98,66,901"
"97,33,185"
"96,41,180"
"73,65,330"
"73,62,345"
"1,04,31,395"
"1,68,91,037"
"1,85,18,539"
"1,78,47,778"
"2,19,51,205"
"2,22,41,005"
"2,61,77,342"
"2,66,35,539"
"2,43,40,355"
"2,72,59,148"
"2,62,30,231"
"2,73,28,566"
"3,12,06,672"
"3,25,71,741"
"3,01,49,023"
"3,38,85,353"
"3,36,05,831"
"3,39,29,171"
"3,15,03,129"
"88,89,215"
"69,94,485"
"60,16,695"
"99,22,185"
"1,02,72,940"
"1,14,37,600"
"90,49,075"
"1,22,08,655"
"96,62,270"
"78,15,955"
"73,00,185"
"58,48,810"
"55,16,910"
"1,18,41,395"
"1,32,26,830"
"83,07,390"
"63,26,635"
"94,52,440"
"92,53,155"
"80,28,165"
"87,53,665"
"73,45,105"
"1,10,30,450"
"1,20,04,640"
"93,88,275"
"1,16,43,465"
"1,30,17,950"
"1,34,72,360"
"1,47,77,070"
"1,24,23,005"
"98,20,405"
"1,09,97,590"
"1,37,93,685"
"1,17,90,990"
"1,64,89,430"
"1,57,79,500"
"1,61,23,625"
"1,13,43,660"
"1,31,71,750"
"1,30,30,460"
"1,53,93,070"
"1,41,59,520"
"1,41,92,770"
"1,42,45,265"
"1,38,43,000"
"1,58,21,230"
"1,51,11,570"
"1,54,64,515"
"1,74,39,010"
"2,01,01,265"
"2,63,97,535"
"3,84,88,095"
"2,77,50,205"
"2,20,17,615"
"2,25,13,025"
"2,25,88,730"
"2,32,77,980"
"2,48,09,245"
"2,40,79,395"
"2,43,39,750"
"2,83,09,715"
"2,56,72,400"
"2,58,88,305"
"2,85,95,120"
"2,60,49,535"
"2,61,66,260"
"2,84,30,520"
"2,91,90,710"
"2,73,86,815"
"3,15,76,155"
"4,65,56,675"
"4,01,58,405"
"3,25,83,160"
"2,94,86,050"
"2,85,64,420"
"3,16,37,450"
"1,72,62,575"
"2,38,33,995"
"2,14,85,505"
"2,04,43,165"
"2,17,07,955"
"2,17,97,980"
"3,19,77,295"
"4,08,00,805"
"5,86,43,787"
"6,45,14,661"
"5,31,50,898"
"4,93,68,302"
"6,09,96,836"
"8,35,77,038"
"7,50,60,788"
"6,07,30,353"
"5,85,93,545"
"5,18,83,410"
"5,36,79,381"
"4,90,20,834"
"2,69,92,654"
"3,06,69,781"
"3,27,94,847"
"2,27,77,521"
"3,31,00,555"
"7,71,34,111"
"7,46,73,255"
"11,86,36,902"
"7,22,18,028"
"5,31,99,933"
"6,13,75,832"
"3,33,29,357"
"3,56,09,337"
"2,74,68,846"
"6,64,15,843"
"3,74,76,049"
"5,19,90,176"
"3,82,44,318"
"4,42,96,150"
"3,84,44,906"
"4,44,00,388"
"2,32,17,219"
"4,09,11,691"
"2,13,16,745"
"4,89,44,211"
"2,17,42,251"
"20,11,032"
"19,37,400"
"17,42,504"
"16,31,651"
"16,16,839"
"16,40,264"
"19,64,003"
"20,71,797"
"15,76,671"
"18,96,957"
"15,60,214"
"17,69,967"
"13,99,041"
"9,63,875"
"5,98,230"
"7,29,634"
"19,37,601"
"8,03,613"
"15,12,188"
"8,28,451"
"17,63,232"
"17,07,434"
"14,94,042"
"15,96,954"
"24,93,968"
"19,50,509"
"27,61,208"
"33,23,374"
"37,59,892"
"32,37,477"
"29,86,573"
"44,65,241"
"42,79,876"
"41,59,916"
"43,81,000"
"52,01,861"
"45,47,700"
"44,87,251"
"45,86,840"
"46,35,755"
"49,74,206"
"43,14,498"
"44,99,928"
"40,33,021"
"43,49,366"
"39,82,296"
"47,81,753"
"41,11,574"
"41,54,871"
"33,43,182"
